,,,All Donation Service Areas,ALOB-OP1 Legacy of Hope,AROR-OP1 Southern Legacy of Life,AZOB-OP1 Donor Network of Arizona,CADN-OP1 Donor Network West,CAGS-OP1 Sierra Donor Services,CAOP-OP1 OneLegacy,CASD-IO1 Lifesharing - A Donate Life Organization,CORS-OP1 Donor Alliance,FLFH-IO1 OurLegacy,FLMP-OP1 South Florida Donor Network,FLUF-IO1 LifeQuest Organ Recovery Services,FLWC-OP1 LifeLink of Florida,GALL-OP1 LifeLink of Georgia,HIOP-OP1 Legacy of Life Hawaii,IAOP-OP1 Iowa Donor Network,ILIP-OP1 Gift of Hope Organ & Tissue Donor Network,INOP-OP1 Indiana Donor Network,KYDA-OP1 Network for Hope,LAOP-OP1 Louisiana Organ Procurement Agency,MAOB-OP1 New England Organ Bank,MDPC-OP1 Infinite Legacy,MIOP-OP1 Gift of Life Michigan,MNOP-OP1 LifeSource Upper Midwest Organ Procurement Organization,MOMA-OP1 Mid-America Transplant Services,MSOP-OP1 Mississippi Organ Recovery Agency,MWOB-OP1 Midwest Transplant Network,NCCM-IO1 LifeShare Carolinas,NCNC-OP1 HonorBridge,NEOR-OP1 Live On Nebraska,NJTO-OP1 New Jersey Organ and Tissue Sharing Network OPO,NMOP-OP1 New Mexico Donor Services,NVLV-OP1 Nevada Donor Network,NYAP-OP1 Center for Donation and Transplant,NYFL-IO1 Finger Lakes Donor Recovery Network,NYRT-OP1 LiveOnNY,NYWN-OP1 Upstate New York Transplant Services Inc,OHLB-OP1 Lifebanc,OHLC-OP1 Life Connection of Ohio,OHLP-OP1 Lifeline of Ohio,OKOP-OP1 LifeShare Transplant Donor Services of Oklahoma,ORUO-IO1 Cascade Life Alliance,PADV-OP1 Gift of Life Donor Program,PATF-OP1 Center for Organ Recovery and Education,PRLL-OP1 LifeLink of Puerto Rico,SCOP-OP1 We Are Sharing Hope SC,TNDS-OP1 Tennessee Donor Services,TNMS-OP1 Mid-South Transplant Foundation,TXGC-OP1 LifeGift Organ Donation Center,TXSA-OP1 Texas Organ Sharing Alliance,TXSB-OP1 Southwest Transplant Alliance,UTOP-OP1 DonorConnect,VATB-OP1 LifeNet Health,WALC-OP1 LifeCenter Northwest,"WIDN-OP1 Versiti Blood Health, Inc.",WIUW-IO1 UW Health Organ and Tissue Donation
,Fbp: Other Specify,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Pseudo-Obstruction-Myopathic,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Pseudo-Obstruction-Neuropathic,,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
,Fbp: Unspecified,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glomerular Disease,All Diagnosis,,"14,012",117,46,356,893,323,"1,188",370,229,151,267,245,237,384,67,97,560,214,199,230,922,467,321,415,207,51,152,292,381,73,351,66,82,45,126,813,28,127,19,114,104,177,557,209,70,224,246,31,465,325,397,149,284,225,122,97
,Focal Glomerular Sclerosis (Focal Segmental -. Fs,,"4,343",46,14,94,240,79,310,94,55,52,98,90,72,149,11,25,175,64,59,86,291,176,92,98,70,18,31,132,160,19,107,13,29,10,32,239,11,50,3,24,33,56,187,71,17,98,71,14,166,84,112,42,118,75,42,29
,Goodpasture'S Syndrome,,86,1,0,1,4,1,4,3,6,2,0,4,2,4,1,0,4,4,0,0,5,1,0,0,2,0,3,3,0,0,3,1,2,2,2,3,0,1,0,0,2,0,2,2,0,2,1,1,6,1,0,1,0,1,0,0
,Hemolytic Uremic Syndrome,,160,1,0,6,4,3,12,5,2,1,3,1,2,3,0,0,13,2,4,2,8,2,3,8,1,0,4,4,5,3,5,0,0,1,3,9,1,1,1,3,3,1,6,3,0,1,5,0,6,4,2,2,6,1,3,1
,Henoch-Schoenlein Purpura,,21,0,0,1,0,0,4,1,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1
,Idio/Post-Inf Crescentic Glomerulonephri,,91,0,0,3,3,4,3,0,3,2,0,2,2,1,0,0,4,2,2,1,9,7,3,1,1,0,2,0,1,0,2,0,0,0,0,6,0,2,0,0,0,0,4,0,0,2,4,0,3,0,8,1,1,0,2,1
,Iga Nephropathy,,"3,937",20,19,134,309,110,315,104,86,42,59,67,64,80,27,40,158,70,63,38,294,107,95,173,59,11,48,68,71,33,94,22,28,11,51,173,3,30,12,39,33,65,145,68,14,45,62,3,119,90,107,55,55,85,35,38
,Alport'S Syndrome,,556,9,0,12,28,21,54,6,12,4,7,13,9,6,2,1,21,11,7,13,34,15,17,18,12,2,6,18,12,2,18,4,2,1,5,28,0,9,1,6,2,4,22,7,4,6,11,2,21,9,13,5,13,16,4,4
,Membranous Glomerulonephritis,,490,5,2,5,31,1,25,11,8,6,3,8,11,21,2,2,31,9,6,14,37,12,11,15,3,2,11,8,14,4,10,5,0,4,2,26,0,3,0,5,2,6,17,18,5,10,10,0,20,7,13,8,11,5,3,0
,Membranous Nephropathy,,453,4,1,13,32,17,38,15,11,3,12,7,8,13,0,4,18,7,8,8,25,17,23,10,7,1,4,4,14,2,4,0,0,4,4,24,0,2,0,3,4,7,9,6,2,12,10,3,6,8,13,2,13,3,5,2
,Mesangio-Capillary 1. Glomerulonephritis,,36,0,0,0,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,7,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,0,3,2,0,0,0,0,1
,Mesangio-Capillary 2. Glomerulonephritis,,15,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Amyloidosis,,193,2,1,7,15,7,21,5,4,1,2,4,3,1,1,0,5,1,2,1,18,8,4,7,2,0,4,3,3,1,6,8,2,0,1,9,0,1,0,1,1,2,6,3,0,2,6,0,6,2,3,3,2,6,0,3
,Anti-Gbm,,63,0,0,1,4,2,3,1,2,0,1,1,3,0,0,0,1,2,0,0,7,1,2,2,0,0,1,3,8,0,0,0,0,1,1,4,0,0,0,0,0,2,2,1,0,0,0,0,2,0,1,2,2,2,1,2
,Rapid Progressive Glomerulonephritis (Rpgn),,126,0,0,1,9,21,9,2,2,0,2,0,2,0,0,1,5,0,3,0,9,0,3,5,0,0,1,2,2,1,3,0,0,1,0,7,0,0,0,8,0,1,13,2,0,0,0,0,1,3,3,1,1,2,2,0
,Sickle Cell Anemia,,73,0,0,0,2,0,5,0,0,1,3,1,1,6,0,0,2,0,0,1,4,4,1,1,1,0,1,0,2,0,2,0,0,0,0,12,1,0,0,1,0,0,6,1,0,2,0,1,8,1,0,0,3,0,0,0
,Systemic Lupus Erythematosus,,"2,010",25,7,48,128,25,173,47,21,27,60,32,41,72,12,10,93,19,18,52,84,84,40,27,23,12,10,29,56,7,65,3,17,6,13,158,7,19,2,14,14,9,67,11,6,35,41,6,84,65,96,10,41,15,15,9
,Thin Basement Membrane Disease,,72,0,0,2,4,6,11,0,0,1,0,0,1,0,0,0,1,0,1,0,8,2,5,6,0,1,1,2,0,0,2,0,0,0,3,1,0,0,0,0,0,2,3,0,0,2,2,0,1,1,1,0,3,1,0,0
,Wegeners Granulomatosis,,201,2,1,3,7,0,15,3,3,0,1,4,2,3,0,4,9,6,7,1,18,8,7,14,4,0,3,4,6,0,3,2,0,3,1,8,0,1,0,2,3,1,11,7,0,1,4,0,2,7,4,1,5,3,1,2
,Chronic Glomerulonephritis Unspecified,,"1,000",2,1,22,64,15,166,69,11,6,14,10,12,21,10,7,17,17,15,10,45,18,14,14,13,3,16,12,23,1,27,7,1,1,6,85,1,6,0,6,5,20,39,8,18,7,18,1,12,37,19,14,10,5,8,4
,Chronic Glomerulosclerosis Unspecified,,183,0,0,4,8,5,18,3,2,3,3,1,3,4,1,2,1,0,3,3,23,7,2,3,7,1,5,2,2,0,1,1,1,0,2,20,3,2,0,2,1,1,15,0,3,0,1,0,2,2,1,2,3,4,1,0
Hypertensive Nephrosclerosis,All Diagnosis,,"16,923",204,64,271,"1,303",199,750,156,144,262,370,353,270,752,42,83,763,308,194,423,825,682,452,189,235,146,171,241,440,34,411,57,96,27,130,"1,092",54,117,6,105,100,131,608,238,61,433,530,244,693,385,899,117,421,165,117,64
,Hypertensive Nephrosclerosis,,"16,923",204,64,271,"1,303",199,750,156,144,262,370,353,270,752,42,83,763,308,194,423,825,682,452,189,235,146,171,241,440,34,411,57,96,27,130,"1,092",54,117,6,105,100,131,608,238,61,433,530,244,693,385,899,117,421,165,117,64
Idiopathic Pulmonary Fibrosis,All Diagnosis,,179,0,0,4,12,0,14,2,2,0,2,3,1,0,0,3,9,3,6,0,0,11,32,4,2,0,0,0,2,0,0,0,0,0,0,12,0,13,0,0,2,0,13,2,0,1,0,0,7,2,6,0,4,5,0,0
,Iip: Idiopathic Pulmonary Fibrosis (Ipf),,165,0,0,4,12,0,13,2,2,0,2,3,1,0,0,3,9,3,5,0,0,8,31,4,1,0,0,0,1,0,0,0,0,0,0,11,0,12,0,0,1,0,12,2,0,1,0,0,5,2,6,0,4,5,0,0
,Iip: Nonspecific Interstitial Pneumonia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lung Re-Tx/Gf: Obliterative Bronchiolitis-Obstruc,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lung Re-Tx/Gf: Primary Graft Failure,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mixed Connective Tissue Disease,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Pulmonary Fibrosis Other Specify Cause,,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Rheumatoid Disease,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,
,COMBINED PULMONARY FIBROSIS AND EMPHYSEMA (CPFE),,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Copd/Emphysema,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malignant Neoplasms,All Diagnosis,,956,4,2,47,25,2,69,28,21,13,18,12,6,22,0,1,22,0,9,12,56,31,8,44,31,7,5,8,20,8,16,0,0,0,1,95,0,5,0,1,4,21,45,12,0,3,5,2,121,44,25,2,8,15,1,4
,Plm: Cholangiocarcinoma (Ch-Ca),,43,0,0,3,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9,1,0,0,1,0,1,0
,Plm: Fibrolamellar (Fl-Hc),,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Plm: Hemangioendothelioma, Hemangiosarcoma, Angio",,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Plm: Hepatoblastoma (Hbl),,4,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Plm: Hepatoma (Hcc) And Cirrhosis,,444,1,0,39,8,1,50,9,15,0,7,0,5,18,0,0,14,0,8,6,26,22,6,10,16,4,2,2,16,1,13,0,0,0,1,46,0,4,0,1,1,6,8,1,0,2,3,0,5,31,22,0,3,11,0,1
,Plm: Hepatoma -. Hepatocellular Carcinoma,,432,3,1,4,15,1,6,19,6,10,10,11,1,3,0,1,8,0,0,6,29,8,2,17,12,2,3,6,4,7,2,0,0,0,0,43,0,0,0,0,3,14,35,9,0,0,2,2,101,12,3,2,4,4,0,2
,"Plm: Other Specify (I.E., Klatzkin Tumor, Leiomys",,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0
,Secondary Hepatic Malignancy Other Specify,,14,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1
,"Bile Duct Cancer: (Cholangioma, Biliary Tract Car",,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
Metabolic Disease,All Diagnosis,,110,2,0,4,7,0,7,0,3,1,1,0,0,1,0,0,3,2,4,4,5,2,1,2,2,1,3,0,2,0,0,0,0,0,0,2,0,3,0,4,2,2,10,9,0,3,1,1,4,2,2,1,3,3,0,1
,Metdis: Alpha-1-Antitrypsin Defic A-1-A,,25,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,1,0,1,0,0,1,0,1,1,2,0,0,1
,Metdis: Glyc Stor Dis Type I. (Gsd-I),,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Metdis: Glyc Stor Dis Type Iv (Gsd-Iv),,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Metdis: Hemochromatosis -. Hemosiderosis,,24,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0,1,0,1,0,0,0
,"Metdis: Hyperlipidemia-Ii, Homozygous Hypercholes",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Metdis: Maple Syrup Urine Disease,,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0
,Metdis: Other Specify,,27,0,0,0,2,0,5,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,1,0,1,1,0,0,0,1,0,0
,"Metdis: Primary Oxalosis/Oxaluria, Hyperoxaluria",,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Metdis: Tyrosinemia,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,"Metdis: Wilson'S Disease, Other Copper Metabolism",,12,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,All Diagnosis,,339,3,2,6,17,4,14,6,11,5,5,11,7,9,0,4,19,1,6,4,28,18,7,13,7,1,6,0,8,1,3,3,2,0,2,13,0,2,0,2,2,5,15,11,0,4,6,2,17,12,6,4,8,3,3,3
,Incidental Carcinoma,,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lymphoma,,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
,Myeloma,,91,0,0,1,8,1,6,2,6,0,2,0,1,2,0,2,4,0,0,2,5,5,3,8,2,1,1,0,1,0,1,1,1,0,0,3,0,0,0,1,0,1,5,2,0,1,1,0,4,4,1,0,0,1,2,1
,Renal Cell Carcinoma,,216,3,2,5,4,3,5,3,5,5,1,8,6,6,0,2,13,1,6,2,22,11,3,4,5,0,4,0,6,1,2,1,0,0,2,10,0,2,0,1,2,4,6,9,0,3,4,2,12,8,4,4,8,1,1,2
,Wilms' Tumor,,24,0,0,0,3,0,3,1,0,0,2,2,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0
Non-Cholestatic Cirrhosis,All Diagnosis,,"1,616",22,1,20,143,1,195,16,21,8,31,7,9,22,8,3,34,17,29,29,101,158,20,23,7,11,37,3,3,7,20,0,0,0,4,60,0,11,0,19,16,9,60,32,11,17,18,3,166,38,79,10,36,15,8,6
,Alcoholic Cirrhosis,,247,6,0,0,34,0,19,2,2,1,0,0,0,1,4,1,3,0,3,2,39,39,2,3,0,1,5,0,0,0,1,0,0,0,1,7,0,1,0,3,1,0,6,5,0,1,6,0,40,1,5,0,0,1,1,0
,Alcoholic Cirrhosis With Hepatitis C,,12,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,ACUTE ALCOHOLIC HEPATITIS,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Autoimmune,,243,0,1,6,14,1,30,8,4,2,5,4,4,3,1,1,4,2,4,5,13,15,1,1,1,2,5,1,0,3,4,0,0,0,1,13,0,1,0,2,6,5,11,0,3,4,2,0,23,2,10,1,8,3,2,3
,Cirrhosis: Chronic Active Hepatitis: Etiology Unk,,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Cryptogenic (Idiopathic),,213,4,0,2,7,0,36,6,4,2,9,1,2,5,1,0,7,2,3,3,5,16,5,5,0,1,3,1,2,1,2,0,0,0,0,12,0,3,0,1,1,1,3,3,3,0,5,0,7,6,20,3,5,5,1,1
,Cirrhosis: Drug/Indust Exposure Other Specify,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
,Cirrhosis: Fatty Liver (Nash),,362,8,0,7,18,0,47,0,6,0,8,0,0,7,1,0,6,3,11,6,15,41,6,3,2,4,14,0,0,1,5,0,0,0,1,7,0,2,0,7,4,1,19,9,1,2,1,3,46,7,24,1,1,5,2,0
,"Cirrhosis: Other, Specify (E.G., Histiocytosis, S",,100,1,0,3,12,0,2,0,0,1,2,1,0,0,0,0,2,0,3,3,4,4,1,4,0,0,5,0,0,1,1,0,0,0,1,6,0,2,0,2,0,0,3,1,0,1,2,0,9,3,7,3,8,1,1,0
,Cirrhosis: Type A,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Type B. And C,,6,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,
,Cirrhosis: Type B. And D,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cirrhosis: Type B- Hbsag+,,91,0,0,0,18,0,9,0,0,1,0,1,0,2,0,1,7,1,0,5,2,11,3,3,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,4,0,0,2,0,0,2,0,0,5,3,1,0,3,0,0,0
,Cirrhosis: Type C,,323,3,0,3,35,0,47,0,5,1,7,0,3,4,1,0,4,8,4,5,19,28,2,2,4,1,5,1,1,1,4,0,0,0,0,8,0,1,0,0,4,2,13,12,4,6,2,0,32,16,11,2,11,0,1,2
,Cirrhosis: Type D,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Not Reported,All Diagnosis,,"5,248",166,5,13,345,6,119,35,58,18,35,54,200,216,11,38,192,76,74,32,235,288,111,69,20,16,36,28,81,20,32,11,1,8,48,614,45,81,2,72,20,115,266,77,5,38,217,16,201,114,264,44,137,184,6,55
,Dilated Myopathy: Post Partum,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
,Eisenmenger'S Syn: Multi Congenital Anomalies,,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Fibrocavitary Lung Disease,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Graft-Vs-Host Disease (Gvhd),,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Granulomatous Lung Disease,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,Heart Re-Tx/Gf: Chronic Rejection,,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
,Heart Re-Tx/Gf: Coronary Artery Disease,,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Non-Specific,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Other Specify,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,Heart Re-Tx/Gf: Restrictive/Constrictive,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Alpha -. 1. -. Antitrypsin Deficiency,,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
,Hypersensitivity Pneumonitis,,16,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0
,Hypertrophic Cardiomyopathy,,15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
,Iip: Idiopathic Pulmonary Fibrosis (Ipf),,74,1,0,0,3,0,2,0,0,1,1,4,2,0,0,1,1,0,0,0,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,11,0,7,0,2,0,0,14,0,0,0,5,0,3,0,0,0,2,1,0,6
